"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","28-Feb-2018","       1150.20","       1147.60","       1189.50","       1142.55","       1169.85","       1172.60","       1172.09","    8634208","         10120034869.50","     229051","    5049780","         58.49"
"INFY","EQ","01-Mar-2018","       1172.60","       1169.60","       1169.60","       1156.05","       1160.25","       1160.75","       1161.83","    3289926","          3822336358.20","      95568","    2089661","         63.52"
"INFY","EQ","05-Mar-2018","       1160.75","       1160.75","       1170.80","       1143.25","       1159.70","       1155.90","       1158.68","    4050728","          4693511961.40","     150137","    2407810","         59.44"
"INFY","EQ","06-Mar-2018","       1155.90","       1162.55","       1165.40","       1143.60","       1146.25","       1151.35","       1157.61","    3344867","          3872054670.15","     123734","    2349339","         70.24"
"INFY","EQ","07-Mar-2018","       1151.35","       1155.00","       1160.00","       1138.05","       1147.80","       1144.10","       1148.31","    3185208","          3657594847.95","      91049","    2099037","         65.90"
"INFY","EQ","08-Mar-2018","       1144.10","       1149.00","       1165.80","       1149.00","       1158.00","       1156.65","       1158.61","    3046507","          3529721779.15","     110975","    1784229","         58.57"
"INFY","EQ","09-Mar-2018","       1156.65","       1162.35","       1166.00","       1155.55","       1164.00","       1163.40","       1162.36","    2110482","          2453138902.30","      83674","    1167092","         55.30"
"INFY","EQ","12-Mar-2018","       1163.40","       1176.00","       1191.85","       1171.75","       1184.00","       1185.75","       1186.26","    3838485","          4553456408.55","      82530","    2208283","         57.53"
"INFY","EQ","13-Mar-2018","       1185.75","       1180.20","       1197.00","       1175.15","       1182.00","       1183.80","       1187.19","    4290526","          5093652781.45","     101093","    2931653","         68.33"
"INFY","EQ","14-Mar-2018","       1183.80","       1180.00","       1190.60","       1169.10","       1181.10","       1180.80","       1180.26","    2214855","          2614111789.60","      54069","    1203746","         54.35"
"INFY","EQ","15-Mar-2018","       1180.80","       1180.00","       1188.40","       1172.00","       1181.90","       1182.50","       1180.88","    3050750","          3602569982.25","      49232","    2081521","         68.23"
"INFY","EQ","16-Mar-2018","       1182.50","       1182.00","       1182.40","       1169.25","       1170.00","       1171.90","       1172.96","    8977413","         10530177258.40","     156251","    7733842","         86.15"
